Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,5664.089844,5689.439941,5657.22998,5662.25,5662.25,132583400
2007-02-02,5680.129883,5693.470215,5666.77002,5677.299805,5677.299805,119787900
2007-02-05,5671.22998,5691.830078,5659.359863,5681.109863,5681.109863,103841700
2007-02-06,5680.120117,5699.27002,5670.47998,5676.779785,5676.779785,100431900
2007-02-07,5687.27002,5710.569824,5681.890137,5703.0,5703.0,122518400
2007-02-08,5705.160156,5711.040039,5652.47998,5665.100098,5665.100098,119012600
2007-02-09,5699.180176,5710.310059,5688.939941,5692.450195,5692.450195,123393300
2007-02-12,5670.72998,5670.72998,5625.169922,5643.950195,5643.950195,102407200
2007-02-13,5656.47998,5682.689941,5651.27002,5682.689941,5682.689941,115131700
2007-02-14,5700.399902,5725.839844,5693.359863,5725.839844,5725.839844,125880400
2007-02-15,5724.540039,5729.160156,5703.669922,5720.879883,5720.879883,140234300
2007-02-16,5716.430176,5728.359863,5703.640137,5713.589844,5713.589844,109439300
2007-02-19,5723.049805,5758.330078,5717.370117,5739.899902,5739.899902,84568200
2007-02-20,5739.27002,5744.779785,5678.379883,5713.450195,5713.450195,101759500
2007-02-21,5732.799805,5736.240234,5677.589844,5694.560059,5694.560059,110464500
2007-02-22,5723.149902,5737.359863,5700.779785,5707.859863,5707.859863,113583300
2007-02-23,5723.790039,5727.600098,5688.830078,5716.379883,5716.379883,134365000
2007-02-26,5732.279785,5771.689941,5728.069824,5762.540039,5762.540039,104397000
2007-02-27,5719.040039,5719.450195,5581.060059,5588.390137,5588.390137,208229600
2007-02-28,5475.890137,5556.850098,5458.649902,5516.319824,5516.319824,248669100
2007-03-01,5502.089844,5555.370117,5355.75,5458.399902,5458.399902,285963100
2007-03-02,5480.27002,5499.220215,5391.100098,5424.700195,5424.700195,182954000
2007-03-05,5325.140137,5404.140137,5303.290039,5385.029785,5385.029785,188472900
2007-03-06,5431.149902,5443.950195,5399.120117,5437.129883,5437.129883,165844200
2007-03-07,5458.299805,5469.009766,5430.700195,5455.069824,5455.069824,146583800
2007-03-08,5493.700195,5529.310059,5481.549805,5524.259766,5524.259766,146668500
2007-03-09,5515.919922,5549.299805,5473.319824,5537.839844,5537.839844,137914100
2007-03-12,5553.819824,5565.419922,5478.52002,5496.069824,5496.069824,121047700
2007-03-13,5498.580078,5508.560059,5432.509766,5432.939941,5432.939941,129619800
2007-03-14,5346.740234,5366.709961,5295.580078,5296.220215,5296.220215,214300300
2007-03-15,5376.359863,5389.850098,5320.370117,5389.850098,5389.850098,157388900
2007-03-16,5380.129883,5420.620117,5346.72998,5382.160156,5382.160156,191552000
2007-03-19,5435.370117,5459.399902,5411.540039,5458.950195,5458.950195,68657400
2007-03-20,5459.669922,5504.839844,5426.430176,5503.27002,5503.27002,140060100
2007-03-21,5499.049805,5518.120117,5490.580078,5502.180176,5502.180176,125262700
2007-03-22,5577.720215,5610.430176,5560.5,5598.370117,5598.370117,170424700
2007-03-23,5589.799805,5642.189941,5576.819824,5634.75,5634.75,132817900
2007-03-26,5638.47998,5638.629883,5546.279785,5576.299805,5576.299805,155438900
2007-03-27,5609.660156,5617.970215,5572.009766,5587.060059,5587.060059,116854900
2007-03-28,5563.5,5574.910156,5530.790039,5552.689941,5552.689941,128851600
2007-03-29,5579.990234,5633.419922,5578.839844,5631.529785,5631.529785,102912200
2007-03-30,5630.169922,5674.259766,5609.02002,5634.160156,5634.160156,106559100
2007-04-02,5623.399902,5648.180176,5609.279785,5645.560059,5645.560059,116783000
2007-04-03,5681.649902,5713.529785,5669.279785,5711.910156,5711.910156,117590800
2007-04-04,5730.279785,5739.009766,5707.390137,5739.009766,5739.009766,122864200
2007-04-05,5731.700195,5751.330078,5721.0,5741.379883,5741.379883,79691800
2007-04-10,5750.470215,5774.970215,5725.930176,5766.27002,5766.27002,108048000
2007-04-11,5757.939941,5798.209961,5741.27002,5751.919922,5751.919922,107745000
2007-04-12,5744.419922,5759.27002,5701.350098,5748.939941,5748.939941,113848800
2007-04-13,5762.060059,5794.620117,5748.740234,5789.339844,5789.339844,92576400
2007-04-16,5815.359863,5861.970215,5806.52002,5861.970215,5861.970215,115781700
2007-04-17,5844.490234,5871.859863,5820.740234,5858.140137,5858.140137,115309500
2007-04-18,5849.200195,5859.169922,5813.459961,5835.950195,5835.950195,126860400
2007-04-19,5775.560059,5834.25,5745.029785,5829.040039,5829.040039,159945600
2007-04-20,5856.5,5957.799805,5855.259766,5938.899902,5938.899902,193738900
2007-04-23,5937.149902,5958.470215,5904.560059,5917.319824,5917.319824,113092800
2007-04-24,5911.649902,5923.609863,5860.689941,5886.029785,5886.029785,173394900
2007-04-25,5902.540039,5962.390137,5902.540039,5947.330078,5947.330078,140026000
2007-04-26,5979.959961,5981.549805,5930.910156,5944.439941,5944.439941,141436800
2007-04-27,5940.759766,5950.990234,5908.379883,5930.77002,5930.77002,112308900
2007-04-30,5913.029785,5976.339844,5913.029785,5960.040039,5960.040039,85311800
2007-05-02,5985.200195,6001.169922,5958.97998,5990.129883,5990.129883,135801500
2007-05-03,6018.589844,6019.700195,5969.709961,6004.279785,6004.279785,120110300
2007-05-04,6012.549805,6075.580078,5999.790039,6068.830078,6068.830078,138972600
2007-05-07,6079.859863,6081.779785,6058.919922,6071.47998,6071.47998,72714200
2007-05-08,6057.589844,6064.200195,6015.990234,6034.25,6034.25,105854600
2007-05-09,6070.180176,6078.279785,6020.689941,6051.629883,6051.629883,122942600
