Date,Open,High,Low,Close,Adj Close,Volume
2000-12-22,5772.680176,5805.209961,5735.430176,5783.72998,5783.72998,0
2000-12-27,5769.240234,5874.089844,5769.240234,5857.149902,5857.149902,0
2000-12-28,5880.910156,5924.930176,5877.899902,5920.600098,5920.600098,0
2000-12-29,5931.680176,5981.399902,5895.370117,5926.419922,5926.419922,0
2001-01-02,5956.149902,5956.149902,5774.640137,5798.899902,5798.899902,0
2001-01-03,5767.649902,5767.649902,5631.319824,5684.049805,5684.049805,0
2001-01-04,5890.330078,5890.330078,5764.879883,5815.990234,5815.990234,0
2001-01-05,5799.180176,5862.040039,5733.47998,5758.02002,5758.02002,0
2001-01-08,5715.799805,5757.5,5695.189941,5732.799805,5732.799805,0
2001-01-09,5778.779785,5792.560059,5627.859863,5663.189941,5663.189941,0
2001-01-10,5672.040039,5686.240234,5603.919922,5653.350098,5653.350098,0
2001-01-11,5663.029785,5702.930176,5631.890137,5702.779785,5702.779785,0
2001-01-12,5738.669922,5841.819824,5738.5,5834.339844,5834.339844,0
2001-01-15,5811.330078,5853.879883,5795.879883,5833.379883,5833.379883,0
2001-01-16,5820.390137,5838.410156,5749.069824,5761.669922,5761.669922,0
2001-01-17,5806.910156,5908.040039,5806.910156,5884.089844,5884.089844,0
2001-01-18,5868.140137,5919.379883,5837.509766,5860.160156,5860.160156,0
2001-01-19,5915.970215,5962.799805,5840.009766,5845.72998,5845.72998,0
2001-01-22,5844.970215,5901.25,5805.620117,5882.759766,5882.759766,0
2001-01-23,5816.529785,5850.830078,5803.799805,5839.72998,5839.72998,0
2001-01-24,5898.390137,5925.129883,5862.72998,5900.319824,5900.319824,0
2001-01-25,5860.540039,5959.810059,5850.939941,5934.680176,5934.680176,0
2001-01-26,5828.220215,5935.200195,5828.220215,5925.620117,5925.620117,0
2001-01-29,5930.200195,5935.47998,5873.77002,5887.899902,5887.899902,0
2001-01-30,5896.259766,5948.060059,5860.220215,5917.149902,5917.149902,0
2001-01-31,5933.259766,5999.180176,5914.27002,5998.490234,5998.490234,0
2001-02-01,5936.310059,5970.299805,5870.509766,5899.720215,5899.720215,0
2001-02-02,5920.890137,5933.879883,5823.799805,5826.370117,5826.370117,0
2001-02-05,5795.72998,5838.959961,5784.779785,5823.490234,5823.490234,0
2001-02-06,5831.970215,5859.350098,5800.700195,5852.350098,5852.350098,0
2001-02-07,5813.100098,5813.100098,5744.680176,5752.140137,5752.140137,0
2001-02-08,5771.22998,5816.129883,5752.740234,5773.459961,5773.459961,0
2001-02-09,5764.680176,5772.790039,5701.640137,5712.359863,5712.359863,0
2001-02-12,5700.310059,5777.879883,5700.310059,5759.47998,5759.47998,0
2001-02-13,5789.580078,5791.240234,5720.450195,5739.029785,5739.029785,0
2001-02-14,5701.72998,5703.890137,5630.740234,5644.22998,5644.22998,0
2001-02-15,5665.040039,5709.27002,5628.950195,5704.529785,5704.529785,0
2001-02-16,5651.490234,5662.189941,5583.080078,5595.129883,5595.129883,0
2001-02-19,5570.569824,5610.310059,5570.569824,5584.75,5584.75,0
2001-02-20,5592.720215,5640.419922,5515.5,5548.740234,5548.740234,0
2001-02-21,5516.850098,5538.790039,5433.299805,5474.370117,5474.370117,0
2001-02-22,5436.990234,5509.879883,5410.339844,5452.47998,5452.47998,0
2001-02-23,5455.779785,5466.490234,5302.790039,5322.839844,5322.839844,0
2001-02-26,5372.97998,5429.790039,5341.919922,5415.100098,5415.100098,0
2001-02-27,5440.049805,5451.089844,5380.049805,5437.759766,5437.759766,0
2001-02-28,5391.439941,5443.72998,5339.779785,5367.47998,5367.47998,0
2001-03-01,5334.22998,5348.350098,5260.02002,5341.339844,5341.339844,0
2001-03-02,5329.049805,5365.790039,5259.939941,5291.919922,5291.919922,0
2001-03-05,5325.029785,5373.0,5274.830078,5368.830078,5368.830078,0
2001-03-06,5401.25,5468.660156,5382.990234,5457.279785,5457.279785,0
2001-03-07,5429.160156,5489.779785,5397.990234,5483.680176,5483.680176,0
2001-03-08,5462.97998,5507.259766,5410.779785,5438.660156,5438.660156,0
2001-03-09,5393.879883,5423.410156,5342.089844,5368.890137,5368.890137,0
2001-03-12,5326.109863,5326.109863,5216.859863,5242.399902,5242.399902,0
2001-03-13,5157.5,5224.169922,5155.160156,5186.870117,5186.870117,0
2001-03-14,5242.680176,5242.680176,4965.470215,5115.5,5115.5,0
2001-03-15,5146.740234,5180.220215,5061.370117,5177.660156,5177.660156,0
2001-03-16,5197.740234,5197.740234,5091.169922,5104.77002,5104.77002,0
2001-03-19,5100.080078,5170.879883,5035.419922,5048.600098,5048.600098,0
2001-03-20,5114.720215,5145.879883,5092.589844,5138.399902,5138.399902,0
2001-03-21,5050.970215,5062.680176,4977.279785,5023.759766,5023.759766,0
2001-03-22,4992.299805,5001.080078,4804.399902,4824.819824,4824.819824,0
2001-03-23,4922.390137,4968.52002,4911.540039,4951.129883,4951.129883,0
2001-03-26,5004.25,5127.140137,4982.609863,5124.799805,5124.799805,0
2001-03-27,5104.459961,5235.600098,5079.620117,5235.600098,5235.600098,0
2001-03-28,5243.200195,5243.200195,5118.779785,5150.430176,5150.430176,0
2001-03-29,5072.47998,5163.120117,5028.72998,5157.919922,5157.919922,0
2001-03-30,5132.490234,5233.680176,5132.089844,5180.450195,5180.450195,0
2001-04-02,5218.47998,5218.47998,5111.819824,5210.47998,5210.47998,0
2001-04-03,5153.140137,5153.140137,4989.72998,5004.0,5004.0,0
2001-04-04,4946.209961,5086.209961,4872.919922,5071.819824,5071.819824,0
2001-04-05,5104.240234,5196.720215,5085.160156,5158.560059,5158.560059,0
